Date,Open,High,Low,Close,Adj Close,Volume
2017-04-11,12149.400390625,12221.4296875,12049.9296875,12139.349609375,12139.349609375,81596000
2017-04-12,12174.9599609375,12242.759765625,12123.1201171875,12154.7001953125,12154.7001953125,74185200
2017-04-13,12137.5703125,12147.7001953125,12089.9404296875,12109.0,12109.0,73577600
2017-04-18,12135.6103515625,12162.4697265625,11996.740234375,12000.4404296875,12000.4404296875,87088100
2017-04-19,12014.0302734375,12040.23046875,12001.8603515625,12016.4501953125,12016.4501953125,83247900
2017-04-20,11968.0595703125,12050.66015625,11941.5703125,12027.3203125,12027.3203125,82816800
2017-04-21,12032.7802734375,12091.330078125,12009.1201171875,12048.5703125,12048.5703125,106406900
2017-04-24,12296.5595703125,12456.1796875,12289.3701171875,12454.98046875,12454.98046875,186060600
2017-04-25,12457.830078125,12482.900390625,12439.1103515625,12467.0400390625,12467.0400390625,91489400
2017-04-26,12466.5,12486.2900390625,12442.3701171875,12472.7998046875,12472.7998046875,87667300
2017-04-27,12440.009765625,12478.2802734375,12426.990234375,12443.7900390625,12443.7900390625,101179400
2017-04-28,12417.8896484375,12462.1103515625,12414.099609375,12438.009765625,12438.009765625,101811900
2017-05-02,12478.4599609375,12511.169921875,12433.509765625,12507.900390625,12507.900390625,85263200
2017-05-03,12502.3603515625,12532.25,12477.8701171875,12527.83984375,12527.83984375,79318800
2017-05-04,12552.0595703125,12648.2197265625,12539.7099609375,12647.7802734375,12647.7802734375,102442000
2017-05-05,12601.4599609375,12718.66015625,12591.75,12716.8896484375,12716.8896484375,104480300
2017-05-08,12758.48046875,12762.0400390625,12659.7001953125,12694.5498046875,12694.5498046875,97719300
2017-05-09,12732.740234375,12783.23046875,12703.9599609375,12749.1201171875,12749.1201171875,109857600
2017-05-10,12728.9697265625,12776.080078125,12715.669921875,12757.4599609375,12757.4599609375,104830700
2017-05-11,12767.1298828125,12772.8798828125,12662.490234375,12711.0595703125,12711.0595703125,100141500
2017-05-12,12728.83984375,12771.0,12714.3798828125,12770.41015625,12770.41015625,106195300
2017-05-15,12824.0498046875,12832.2900390625,12729.490234375,12807.0400390625,12807.0400390625,84466400
2017-05-16,12787.6904296875,12841.66015625,12776.01953125,12804.5302734375,12804.5302734375,77912000
2017-05-17,12700.1201171875,12786.8896484375,12587.4501953125,12631.6103515625,12631.6103515625,105679600
2017-05-18,12608.1904296875,12634.259765625,12489.9501953125,12590.0595703125,12590.0595703125,119778200
2017-05-19,12612.2998046875,12658.5498046875,12596.7197265625,12638.6904296875,12638.6904296875,118293100
2017-05-22,12664.9697265625,12670.259765625,12571.0595703125,12619.4599609375,12619.4599609375,73068700
2017-05-23,12597.5400390625,12703.740234375,12593.330078125,12659.150390625,12659.150390625,88301200
2017-05-24,12631.3896484375,12662.0498046875,12617.759765625,12642.8701171875,12642.8701171875,71515700
2017-05-25,12693.83984375,12697.66015625,12543.76953125,12621.7197265625,12621.7197265625,57697300
2017-05-26,12604.400390625,12611.490234375,12529.509765625,12602.1796875,12602.1796875,73290800
2017-05-29,12588.7998046875,12633.3701171875,12578.580078125,12628.9501953125,12628.9501953125,36925100
2017-05-30,12583.8203125,12648.099609375,12567.2197265625,12598.6796875,12598.6796875,72307400
2017-05-31,12612.51953125,12709.1298828125,12582.7998046875,12615.0595703125,12615.0595703125,136040800
2017-06-01,12623.6103515625,12677.599609375,12621.5302734375,12664.919921875,12664.919921875,87581100
2017-06-02,12735.0,12878.58984375,12734.7802734375,12822.9404296875,12822.9404296875,88411500
2017-06-06,12768.4599609375,12788.33984375,12679.580078125,12690.1201171875,12690.1201171875,81639700
2017-06-07,12659.9697265625,12746.419921875,12640.51953125,12672.490234375,12672.490234375,123266300
2017-06-08,12688.5400390625,12740.3603515625,12684.7099609375,12713.580078125,12713.580078125,97505300
2017-06-09,12711.5302734375,12821.0302734375,12711.5302734375,12815.7197265625,12815.7197265625,90523800
2017-06-12,12760.3896484375,12782.73046875,12666.3896484375,12690.4404296875,12690.4404296875,94035600
2017-06-13,12739.5,12790.2998046875,12727.830078125,12764.98046875,12764.98046875,74520800
2017-06-14,12798.259765625,12921.169921875,12788.7001953125,12805.9501953125,12805.9501953125,103932600
2017-06-15,12801.91015625,12804.4697265625,12620.900390625,12691.8095703125,12691.8095703125,119859300
2017-06-16,12746.0498046875,12762.349609375,12707.58984375,12752.73046875,12752.73046875,216892800
2017-06-19,12849.990234375,12912.849609375,12833.009765625,12888.9501953125,12888.9501953125,77935300
2017-06-20,12938.0400390625,12951.5400390625,12814.759765625,12814.7900390625,12814.7900390625,79018800
2017-06-21,12792.3203125,12804.419921875,12708.990234375,12774.259765625,12774.259765625,69868700
2017-06-22,12758.66015625,12806.01953125,12717.2900390625,12794.0,12794.0,71786400
2017-06-23,12757.9697265625,12787.2197265625,12677.400390625,12733.41015625,12733.41015625,76118600
2017-06-26,12783.8896484375,12841.3095703125,12752.75,12770.830078125,12770.830078125,68282500
2017-06-27,12728.5,12751.2001953125,12644.9501953125,12671.01953125,12671.01953125,107010400
2017-06-28,12586.0595703125,12671.2802734375,12536.8603515625,12647.26953125,12647.26953125,103590500
2017-06-29,12707.48046875,12729.1796875,12396.1298828125,12416.1904296875,12416.1904296875,115458700
2017-06-30,12424.5,12459.6904296875,12319.0,12325.1201171875,12325.1201171875,103836900
2017-07-03,12396.33984375,12486.2900390625,12390.73046875,12475.3095703125,12475.3095703125,77064400
2017-07-04,12413.599609375,12481.8095703125,12411.5595703125,12437.1298828125,12437.1298828125,64565700
2017-07-05,12432.41015625,12496.8203125,12406.6904296875,12453.6796875,12453.6796875,82624300
2017-07-06,12474.509765625,12490.7197265625,12316.4296875,12381.25,12381.25,112350300
2017-07-07,12376.1904296875,12388.6796875,12339.91015625,12388.6796875,12388.6796875,79018600
2017-07-10,12464.9599609375,12482.9501953125,12406.2001953125,12445.919921875,12445.919921875,69350000
2017-07-11,12479.669921875,12539.1796875,12417.849609375,12437.01953125,12437.01953125,72659800
2017-07-12,12469.849609375,12648.1904296875,12468.16015625,12626.580078125,12626.580078125,96765800
2017-07-13,12614.1298828125,12676.51953125,12613.51953125,12641.330078125,12641.330078125,79125000
2017-07-14,12642.650390625,12662.009765625,12577.330078125,12631.7197265625,12631.7197265625,68298600
